"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"1","Christian McCaffrey","SF","9","RB1","","1","1","1.0"
"2","CeeDee Lamb","DAL","7","WR1","","2","2","2.0"
"3","Tyreek Hill","MIA","6","WR2","","3","3","3.0"
"4","Justin Jefferson","MIN","6","WR3","","4","6","5.0"
"5","Bijan Robinson","ATL","12","RB2","","6","5","5.5"
"6","Breece Hall","NYJ","12","RB3","","9","4","6.5"
"7","Ja'Marr Chase","CIN","12","WR4","","5","8","6.5"
"8","Amon-Ra St. Brown","DET","5","WR5","","7","7","7.0"
"9","A.J. Brown","PHI","5","WR6","","8","10","9.0"
"10","Jahmyr Gibbs","DET","5","RB4","","10","12","11.0"
"11","Saquon Barkley","PHI","5","RB5","","14","9","11.5"
"12","Jonathan Taylor","IND","14","RB6","","13","11","12.0"
"13","Puka Nacua","LAR","6","WR7","","11","13","12.0"
"14","Garrett Wilson","NYJ","12","WR8","","12","14","13.0"
"15","Kyren Williams","LAR","6","RB7","","16","17","16.5"
"16","Travis Etienne Jr.","JAC","12","RB8","","19","15","17.0"
"17","Marvin Harrison Jr.","ARI","11","WR9","","15","19","17.0"
"18","Davante Adams","LV","10","WR10","","18","16","17.0"
"19","Drake London","ATL","12","WR11","","17","21","19.0"
"20","De'Von Achane","MIA","6","RB9","","22","18","20.0"
"21","Josh Allen","BUF","12","QB1","","20","24","22.0"
"22","Derrick Henry","BAL","14","RB10","","25","20","22.5"
"23","Chris Olave","NO","12","WR12","","21","27","24.0"
"24","Josh Jacobs","GB","10 ","RB11","","26","23","24.5"
"25","Isiah Pacheco","KC","6","RB12","","31","22","26.5"
"26","Sam LaPorta","DET","5","TE1","","24","29","26.5"
"27","Deebo Samuel Sr.","SF","9","WR13","","30","25","27.5"
"28","Nico Collins","HOU","14","WR14","","28","28","28.0"
"29","Travis Kelce","KC","6","TE2","","27","32","29.5"
"30","Jalen Hurts","PHI","5","QB2","","32","33","32.5"
"31","Michael Pittman Jr.","IND","14","WR15","","40","26","33.0"
"32","Brandon Aiyuk","SF","9","WR16","","23","44","33.5"
"33","Rachaad White","TB","11","RB13","","38","30","34.0"
"34","Mike Evans","TB","11","WR17","","29","40","34.5"
"35","Jaylen Waddle","MIA","6","WR18","","33","37","35.0"
"36","Stefon Diggs","HOU","14","WR19","","34","36","35.0"
"37","Patrick Mahomes II","KC","6","QB3","","36","34","35.0"
"38","James Cook","BUF","12","RB14","","43","31","37.0"
"39","Cooper Kupp","LAR","6","WR20","","42","35","38.5"
"40","DJ Moore","CHI","7","WR21","","35","42","38.5"
"41","Lamar Jackson","BAL","14","QB4","","37","43","40.0"
"42","DK Metcalf","SEA","10","WR22","","41","39","40.0"
"43","Alvin Kamara","NO","12","RB15","","52","38","45.0"
"44","Kenneth Walker III","SEA","10","RB16","","49","41","45.0"
"45","Malik Nabers","NYG","11","WR23","","39","52","45.5"
"46","DeVonta Smith","PHI","5","WR24","","45","46","45.5"
"47","Joe Mixon","HOU","14","RB17","","47","45","46.0"
"48","Trey McBride","ARI","11","TE3","","46","48","47.0"
"49","Mark Andrews","BAL","14","TE4","","48","49","48.5"
"50","C.J. Stroud","HOU","14","QB5","","44","54","49.0"
"51","Dalton Kincaid","BUF","12","TE5","","51","47","49.0"
"52","Anthony Richardson","IND","14","QB6","","54","51","52.5"
"53","George Pickens","PIT","9","WR25","","56","53","54.5"
"54","Zay Flowers","BAL","14","WR26","","50","61","55.5"
"55","Amari Cooper","CLE","10","WR27","","57","56","56.5"
"56","Aaron Jones","MIN","6","RB18","","59","55","57.0"
"57","Tee Higgins","CIN","12","WR28","","55","59","57.0"
"58","Rhamondre Stevenson","NE","14","RB19","","68","50","59.0"
"59","James Conner","ARI","11","RB20","","60","58","59.0"
"60","D'Andre Swift","CHI","7","RB21","","66","57","61.5"
"61","Kyle Pitts","ATL","12","TE6","","58","67","62.5"
"62","Keenan Allen","CHI","7","WR29","","61","66","63.5"
"63","Joe Burrow","CIN","12","QB7","","63","65","64.0"
"64","George Kittle","SF","9","TE7","","62","69","65.5"
"65","Tank Dell","HOU","14","WR30","","53","80","66.5"
"66","David Montgomery","DET","5","RB22","","64","71","67.5"
"67","Terry McLaurin","WAS","14","WR31","","67","68","67.5"
"68","Najee Harris","PIT","9","RB23","","74","63","68.5"
"69","Zamir White","LV","10","RB24","","78","60","69.0"
"70","Chris Godwin","TB","11","WR32","","77","64","70.5"
"71","Christian Kirk","JAC","12","WR33","","65","76","70.5"
"72","Evan Engram","JAC","12","TE8","","72","70","71.0"
"73","Kyler Murray","ARI","11","QB8","","71","74","72.5"
"74","Dak Prescott","DAL","7","QB9","","73","72","72.5"
"75","Jordan Love","GB","10","QB10","","85","62","73.5"
"76","Jayden Reed","GB","10","WR34","","70","88","79.0"
"77","Calvin Ridley","TEN","5","WR35","","80","78","79.0"
"78","Raheem Mostert","MIA","6","RB25","","79","79","79.0"
"79","Zack Moss","CIN","12","RB26","","91","73","82.0"
"80","Tony Pollard","TEN","5","RB27","","84","82","83.0"
"81","Rashee Rice","KC","6","WR36","","83","84","83.5"
"82","Jaylen Warren","PIT","9","RB28","","95","77","86.0"
"83","Jonathon Brooks","CAR","11","RB29","","87","85","86.0"
"84","Hollywood Brown","KC","6","WR37","","81","92","86.5"
"85","Xavier Worthy","KC","6","WR38","","76","98","87.0"
"86","Diontae Johnson","CAR","11","WR39","","92","83","87.5"
"87","Devin Singletary","NYG","11","RB30","","103","75","89.0"
"88","Nick Chubb","CLE","10","RB31","","89","89","89.0"
"89","David Njoku","CLE","10","TE9","","88","91","89.5"
"90","Austin Ekeler","WAS","14","RB32","","99","81","90.0"
"91","Javonte Williams","DEN","14","RB33","","93","87","90.0"
"92","Jake Ferguson","DAL","7","TE10","","90","90","90.0"
"93","Jordan Addison","MIN","6","WR40","","75","109","92.0"
"94","Ladd McConkey","LAC","5","WR41","","86","99","92.5"
"95","DeAndre Hopkins","TEN","5","WR42","","94","94","94.0"
