Rank,Player,Team,Bye,POS,ESPN,Yahoo,CBS,Sleeper,NFL,RTSports,Fantrax,AVG
1,Jahmyr Gibbs,DET,6,RB1,1,,1,1,,1,1,1.0
2,Bijan Robinson,ATL,11,RB2,2,,2,2,,2,2,2.0
3,Ja'Marr Chase,CIN,6,WR1,3,,3,3,,3,3,3.0
4,Puka Nacua,LAR,11,WR2,4,,4,4,,4,4,4.0
5,Christian McCaffrey,SF,8,RB3,6,,7,5,,5,5,5.6
6,Jaxon Smith-Njigba,SEA,11,WR3,5,,6,7,,6,6,6.0
7,Jonathan Taylor,IND,13,RB4,7,,5,6,,7,7,6.4
8,Amon-Ra St. Brown,DET,6,WR4,8,,8,8,,9,8,8.2
9,James Cook III,BUF,7,RB5,12,,9,10,,10,10,10.2
10,Ashton Jeanty,LV,13,RB6,14,,11,14,,8,9,11.2
11,De'Von Achane,MIA,6,RB7,10,,10,12,,11,14,11.4
12,CeeDee Lamb,DAL,14,WR5,9,,15,9,,15,12,12.0
13,Justin Jefferson,MIN,6,WR6,11,,16,11,,13,11,12.4
14,Saquon Barkley,PHI,10,RB8,13,,13,13,,16,16,14.2
15,Chase Brown,CIN,6,RB9,22,,12,17,,12,13,15.2
16,Drake London,ATL,11,WR7,15,,17,16,,19,20,17.4
17,Omarion Hampton,LAC,7,RB10,26,,18,15,,14,15,17.6
18,Derrick Henry,BAL,13,RB11,16,,14,21,,20,21,18.4
19,Kenneth Walker III,KC,5,RB12,21,,20,19,,17,18,19.0
20,A.J. Brown,NE,11,WR8,24,,23,18,,21,17,20.6
21,Trey McBride,ARI,14,TE1,18,,27,20,,18,25,21.6
22,Brock Bowers,LV,13,TE2,23,,26,22,,22,19,22.4
23,Josh Allen,BUF,7,QB1,19,,19,24,,26,31,23.8
24,George Pickens,DAL,14,WR9,27,,21,23,,24,26,24.2
25,Nico Collins,HOU,8,WR10,25,,25,25,,27,22,24.8
26,Rashee Rice,KC,5,WR11,20,,22,27,,33,27,25.8
27,Jeremiyah Love,ARI,14,RB13,17,,30,26,,28,33,26.8
28,Chris Olave,NO,8,WR12,29,,29,30,,25,24,27.4
29,Malik Nabers,NYG,8,WR13,31,,32,28,,29,23,28.6
30,Kyren Williams,LAR,11,RB14,38,,24,29,,31,28,30.0
31,Javonte Williams,DAL,14,RB15,33,,34,36,,23,30,31.2
32,Breece Hall,NYJ,13,RB16,28,,33,32,,32,32,31.4
33,Josh Jacobs,GB,11,RB17,30,,28,31,,30,40,31.8
34,DeVonta Smith,PHI,10,WR14,35,,36,37,,38,29,35.0
35,Zay Flowers,BAL,13,WR15,36,,35,41,,35,34,36.2
36,Cam Skattebo,NYG,8,RB18,39,,31,43,,36,41,38.0
37,Tetairoa McMillan,CAR,5,WR16,37,,43,35,,43,36,38.8
38,Emeka Egbuka,TB,10,WR17,41,,37,40,,39,38,39.0
39,Travis Etienne Jr.,NO,8,RB19,42,,42,44,,40,35,40.6
40,Garrett Wilson,NYJ,13,WR18,32,,46,45,,42,39,40.8
41,Tee Higgins,CIN,6,WR19,51,,38,34,,48,37,41.6
42,Lamar Jackson,BAL,13,QB2,34,,39,33,,53,50,41.8
43,Colston Loveland,CHI,10,TE3,40,,45,42,,47,42,43.2
44,Bucky Irving,TB,10,RB20,50,,41,39,,41,58,45.8
45,Ladd McConkey,LAC,7,WR20,48,,44,38,,44,56,46.0
46,Quinshon Judkins,CLE,11,RB21,49,,47,53,,34,49,46.4
47,Jaylen Waddle,DEN,10,WR21,52,,49,47,,54,43,49.0
