Rank,Player,Team,Bye,POS,ESPN,Yahoo,CBS,Sleeper,NFL,RTSports,Fantrax,AVG
1,Jahmyr Gibbs,DET,6,RB1,,1,,1,,1,,1.0
2,Bijan Robinson,ATL,11,RB2,,2,,2,,2,,2.0
3,Ja'Marr Chase,CIN,6,WR1,,3,,3,,3,,3.0
4,Puka Nacua,LAR,11,WR2,,4,,4,,4,,4.0
5,Christian McCaffrey,SF,8,RB3,,5,,5,,5,,5.0
6,Jonathan Taylor,IND,13,RB4,,6,,6,,7,,6.3
7,Jaxon Smith-Njigba,SEA,11,WR3,,7,,7,,6,,6.7
8,Amon-Ra St. Brown,DET,6,WR4,,8,,8,,8,,8.0
9,James Cook III,BUF,7,RB5,,9,,9,,9,,9.0
10,CeeDee Lamb,DAL,14,WR5,,10,,10,,13,,11.0
11,Saquon Barkley,PHI,10,RB6,,11,,11,,14,,12.0
12,Justin Jefferson,MIN,6,WR6,,12,,12,,12,,12.0
13,De'Von Achane,MIA,6,RB7,,14,,14,,10,,12.7
14,Ashton Jeanty,LV,13,RB8,,13,,13,,17,,14.3
15,Chase Brown,CIN,6,RB9,,16,,17,,11,,14.7
16,Omarion Hampton,LAC,7,RB10,,18,,15,,15,,16.0
17,Kenneth Walker III,KC,5,RB11,,15,,18,,16,,16.3
18,Derrick Henry,BAL,13,RB12,,17,,16,,19,,17.3
19,A.J. Brown,NE,11,WR7,,24,,19,,18,,20.3
20,Drake London,ATL,11,WR8,,19,,21,,21,,20.3
21,Josh Allen,BUF,7,QB1,,20,,20,,24,,21.3
22,Brock Bowers,LV,13,TE1,,21,,22,,22,,21.7
23,Trey McBride,ARI,14,TE2,,25,,24,,20,,23.0
24,Nico Collins,HOU,8,WR9,,22,,23,,25,,23.3
25,George Pickens,DAL,14,WR10,,23,,25,,27,,25.0
26,Jeremiyah Love,ARI,14,RB13,,26,,26,,29,,27.0
27,Chris Olave,NO,8,WR11,,30,,31,,23,,28.0
28,Kyren Williams,LAR,11,RB14,,27,,27,,30,,28.0
29,Malik Nabers,NYG,8,WR12,,29,,30,,28,,29.0
