Rank,Player,Team,Bye,POS,ESPN,Yahoo,CBS,Sleeper,NFL,RTSports,Fantrax,AVG
1,Jahmyr Gibbs,DET,6,RB1,,,,2,,1,,1.5
2,Bijan Robinson,ATL,11,RB2,,,,1,,2,,1.5
3,Ja'Marr Chase,CIN,6,WR1,,,,6,,3,,4.5
4,Christian McCaffrey,SF,8,RB3,,,,4,,5,,4.5
5,Jonathan Taylor,IND,13,RB4,,,,3,,7,,5.0
6,Puka Nacua,LAR,11,WR2,,,,9,,4,,6.5
7,James Cook III,BUF,7,RB5,,,,5,,9,,7.0
8,Jaxon Smith-Njigba,SEA,11,WR3,,,,10,,6,,8.0
9,De'Von Achane,MIA,6,RB6,,,,8,,10,,9.0
10,Derrick Henry,BAL,13,RB7,,,,7,,19,,13.0
11,Amon-Ra St. Brown,DET,6,WR4,,,,18,,8,,13.0
12,Omarion Hampton,LAC,7,RB8,,,,12,,15,,13.5
13,Ashton Jeanty,LV,13,RB9,,,,11,,17,,14.0
14,CeeDee Lamb,DAL,14,WR5,,,,15,,13,,14.0
15,Saquon Barkley,PHI,10,RB10,,,,14,,14,,14.0
16,Chase Brown,CIN,6,RB11,,,,19,,11,,15.0
17,Justin Jefferson,MIN,6,WR6,,,,20,,12,,16.0
18,Josh Allen,BUF,7,QB1,,,,16,,24,,20.0
19,Kenneth Walker III,KC,5,RB12,,,,24,,16,,20.0
20,Drake London,ATL,11,WR7,,,,21,,21,,21.0
21,Kyren Williams,LAR,11,RB13,,,,13,,30,,21.5
22,Trey McBride,ARI,14,TE1,,,,23,,20,,21.5
23,Jeremiyah Love,ARI,14,RB14,,,,17,,29,,23.0
24,Brock Bowers,LV,13,TE2,,,,29,,22,,25.5
25,Nico Collins,HOU,8,WR8,,,,26,,25,,25.5
26,A.J. Brown,NE,11,WR9,,,,34,,18,,26.0
27,Josh Jacobs,GB,11,RB15,,,,22,,31,,26.5
28,Chris Olave,NO,8,WR10,,,,31,,23,,27.0
29,George Pickens,DAL,14,WR11,,,,28,,27,,27.5
30,Javonte Williams,DAL,14,RB16,,,,32,,26,,29.0
31,Malik Nabers,NYG,8,WR12,,,,30,,28,,29.0
32,Breece Hall,NYJ,13,RB17,,,,27,,32,,29.5
33,Rashee Rice,KC,5,WR13,,,,35,,34,,34.5
34,Travis Etienne Jr.,NO,8,RB18,,,,36,,36,,36.0
35,Lamar Jackson,BAL,13,QB2,,,,25,,50,,37.5
36,Bucky Irving,TB,10,RB19,,,,33,,42,,37.5
37,Garrett Wilson,NYJ,13,WR14,,,,39,,39,,39.0
38,Cam Skattebo,NYG,8,RB20,,,,42,,40,,41.0
39,Quinshon Judkins,CLE,11,RB21,,,,45,,38,,41.5
40,Tetairoa McMillan,CAR,5,WR15,,,,38,,45,,41.5
41,Tee Higgins,CIN,6,WR16,,,,37,,49,,43.0
42,Luther Burden III,CHI,10,WR17,,,,41,,47,,44.0
43,Zay Flowers,BAL,13,WR18,,,,52,,37,,44.5
44,DeVonta Smith,PHI,10,WR19,,,,55,,35,,45.0
45,Colston Loveland,CHI,10,TE3,,,,47,,43,,45.0
46,Ladd McConkey,LAC,7,WR20,,,,48,,44,,46.0
47,TreVeyon Henderson,NE,11,RB22,,,,40,,54,,47.0
48,DJ Moore,BUF,7,WR21,,,,62,,33,,47.5
49,Jaylen Waddle,DEN,10,WR22,,,,43,,52,,47.5
50,Bhayshul Tuten,JAC,7,RB23,,,,44,,51,,47.5
51,D'Andre Swift,CHI,10,RB24,,,,49,,46,,47.5
52,Emeka Egbuka,TB,10,WR23,,,,57,,41,,49.0
53,David Montgomery,HOU,8,RB25,,,,50,,48,,49.0
54,Davante Adams,LAR,11,WR24,,,,46,,58,,52.0
55,Drake Maye,NE,11,QB3,,,,51,,59,,55.0
56,Jameson Williams,DET,6,WR25,,,,54,,57,,55.5
57,Terry McLaurin,WAS,7,WR26,,,,58,,56,,57.0
58,Tyler Warren,IND,13,TE4,,,,60,,55,,57.5
59,Jaylen Warren,PIT,9,RB26,,,,53,,64,,58.5
60,Joe Burrow,CIN,6,QB4,,,,56,,61,,58.5
61,Rhamondre Stevenson,NE,11,RB27,,,,61,,63,,62.0
62,Mike Evans,SF,8,WR27,,,,63,,67,,65.0
63,RJ Harvey,DEN,10,RB28,,,,59,,72,,65.5
64,Harold Fannin Jr.,CLE,11,TE5,,,,67,,65,,66.0
65,Rome Odunze,CHI,10,WR28,,,,73,,60,,66.5
66,Jayden Daniels,WAS,7,QB5,,,,71,,66,,68.5
67,Rico Dowdle,PIT,9,RB29,,,,70,,68,,69.0
68,Christian Watson,GB,11,WR29,,,,69,,69,,69.0
69,Jadarian Price,SEA,11,RB30,,,,86,,53,,69.5
70,Parker Washington,JAC,7,WR30,,,,81,,62,,71.5
71,Tony Pollard,TEN,9,RB31,,,,68,,75,,71.5
72,Carnell Tate,TEN,9,WR31,,,,64,,82,,73.0
73,Jalen Hurts,PHI,10,QB6,,,,76,,71,,73.5
74,Tucker Kraft,GB,11,TE6,,,,77,,74,,75.5
75,Courtland Sutton,DEN,10,WR32,,,,78,,77,,77.5
76,Michael Wilson,ARI,14,WR33,,,,82,,76,,79.0
77,Kyle Monangai,CHI,10,RB32,,,,65,,95,,80.0
78,Chuba Hubbard,CAR,5,RB33,,,,72,,90,,81.0
79,Kyle Pitts Sr.,ATL,11,TE7,,,,79,,83,,81.0
80,J.K. Dobbins,DEN,10,RB34,,,,75,,88,,81.5
81,Blake Corum,LAR,11,RB35,,,,74,,91,,82.5
82,DK Metcalf,PIT,9,WR34,,,,80,,89,,84.5
83,Marvin Harrison Jr.,ARI,14,WR35,,,,89,,81,,85.0
84,Brian Thomas Jr.,JAC,7,WR36,,,,84,,86,,85.0
85,Chris Godwin Jr.,TB,10,WR37,,,,95,,79,,87.0
86,Caleb Williams,CHI,10,QB7,,,,97,,80,,88.5
87,Sam LaPorta,DET,6,TE8,,,,85,,96,,90.5
88,Justin Herbert,LAC,7,QB8,,,,94,,87,,90.5
89,Trevor Lawrence,JAC,7,QB9,,,,102,,85,,93.5
90,Kenny Gainwell,TB,10,RB36,,,,93,,94,,93.5
91,Jordan Mason,MIN,6,RB37,,,,110,,78,,94.0
92,Wan'Dale Robinson,TEN,9,WR38,,,,116,,73,,94.5
93,Dak Prescott,DAL,14,QB10,,,,107,,84,,95.5
94,Jaxson Dart,NYG,8,QB11,,,,91,,101,,96.0
95,Jacory Croskey-Merritt,WAS,7,RB38,,,,103,,92,,97.5
96,Jakobi Meyers,JAC,7,WR39,,,,83,,117,,100.0
97,Alec Pierce,IND,13,WR40,,,,101,,103,,102.0
98,George Kittle,SF,8,TE9,,,,109,,97,,103.0
99,Dalton Kincaid,BUF,7,TE10,,,,88,,121,,104.5
100,Aaron Jones Sr.,MIN,6,RB39,,,,92,,118,,105.0
101,Jordyn Tyson,NO,8,WR41,,,,66,,145,,105.5
102,Jordan Addison,MIN,6,WR42,,,,108,,108,,108.0
103,Michael Pittman Jr.,PIT,9,WR43,,,,119,,99,,109.0
104,Isaiah Likely,NYG,8,TE11,,,,127,,93,,110.0
105,Woody Marks,HOU,8,RB40,,,,115,,105,,110.0
106,Tyler Allgeier,ARI,14,RB41,,,,96,,125,,110.5
107,Travis Kelce,KC,5,TE12,,,,117,,104,,110.5
108,Patrick Mahomes II,KC,5,QB12,,,,112,,114,,113.0
109,Jake Ferguson,DAL,14,TE13,,,,105,,124,,114.5
110,Quentin Johnston,LAC,7,WR44,,,,123,,107,,115.0
111,Josh Downs,IND,13,WR45,,,,125,,106,,115.5
112,Brock Purdy,SF,8,QB13,,,,118,,115,,116.5
113,Mark Andrews,BAL,13,TE14,,,,104,,132,,118.0
114,Dallas Goedert,PHI,10,TE15,,,,100,,138,,119.0
115,Jonathon Brooks,CAR,5,RB42,,,,169,,70,,119.5
116,Bo Nix,DEN,10,QB14,,,,138,,102,,120.0
117,Stefon Diggs,WAS,7,WR46,,,,130,,110,,120.0
118,Juwan Johnson,NO,8,TE16,,,,113,,127,,120.0
119,Rachaad White,WAS,7,RB43,,,,142,,100,,121.0
120,Brian Robinson Jr.,ATL,11,RB44,,,,87,,156,,121.5
121,Brandon Aubrey,DAL,14,K1,,,,121,,122,,121.5
122,Jayden Reed,GB,11,WR47,,,,135,,109,,122.0
123,Matthew Stafford,LAR,11,QB15,,,,133,,111,,122.0
124,Zach Charbonnet,SEA,11,RB45,,,,111,,133,,122.0
125,Hunter Henry,NE,11,TE17,,,,98,,159,,128.5
126,Romeo Doubs,NE,11,WR48,,,,131,,126,,128.5
127,Tyjae Spears,TEN,9,RB46,,,,140,,120,,130.0
128,Tyrone Tracy Jr.,NYG,8,RB47,,,,122,,142,,132.0
129,Jonah Coleman,DEN,10,RB48,,,,132,,134,,133.0
130,Jared Goff,DET,6,QB16,,,,155,,112,,133.5
131,Houston Texans,DST,8,DST1,,,,129,,140,,134.5
132,KC Concepcion,CLE,11,WR49,,,,151,,119,,135.0
133,Mike Washington Jr.,LV,13,RB49,,,,161,,113,,137.0
134,Los Angeles Rams,DST,11,DST2,,,,124,,153,,138.5
135,Xavier Worthy,KC,5,WR50,,,,139,,143,,141.0
136,Brenton Strange,JAC,7,TE18,,,,114,,171,,142.5
137,Jordan Love,GB,11,QB17,,,,146,,139,,142.5
138,Khalil Shakir,BUF,7,WR51,,,,137,,149,,143.0
139,Chris Rodriguez Jr.,JAC,7,RB50,,,,167,,123,,145.0
140,Seattle Seahawks,DST,11,DST3,,,,134,,158,,146.0
141,Dalton Schultz,HOU,8,TE19,,,,106,,188,,147.0
142,Baker Mayfield,TB,10,QB18,,,,168,,130,,149.0
143,Jalen Coker,CAR,5,WR52,,,,153,,146,,149.5
144,Alvin Kamara,NO,8,RB51,,,,136,,165,,150.5
145,Deebo Samuel Sr.,SF,8,WR53,,,,160,,141,,150.5
146,Kenyon Sadiq,NYJ,13,TE20,,,,120,,182,,151.0
147,Denver Broncos,DST,10,DST4,,,,148,,154,,151.0
148,Malik Willis,MIA,6,QB19,,,,164,,144,,154.0
149,Dylan Sampson,CLE,11,RB52,,,,149,,160,,154.5
150,Emmett Johnson,KC,5,RB53,,,,126,,184,,155.0
151,Tyler Shough,NO,8,QB20,,,,174,,136,,155.0
152,Keaton Mitchell,LAC,7,RB54,,,,176,,137,,156.5
153,Oronde Gadsden II,LAC,7,TE21,,,,90,,224,,157.0
154,Kyler Murray,MIN,6,QB21,,,,186,,128,,157.0
155,Philadelphia Eagles,DST,10,DST5,,,,143,,173,,158.0
156,T.J. Hockenson,MIN,6,TE22,,,,147,,169,,158.0
